cluster_label,label,val1,val2
C,C,6.9,-1.88
D,D,-2.48,0.14
A,A,-7.8,-0.42
B,B,0.44,6.61
A,A,-7.01,0.0
B,B,0.69,5.41
B,B,0.03,5.13
D,D,0.61,-1.18
D,D,-1.75,-1.21
C,C,7.31,1.94
C,C,7.43,1.9
A,A,-6.6,0.09
A,A,-7.37,1.42
A,A,-7.3,-0.07
B,B,1.68,4.31
D,D,0.56,-0.18
B,B,-0.1,6.11
D,D,-0.65,-1.06
A,A,-7.72,-0.67
C,C,6.47,0.11
B,B,0.2,5.45
D,D,-1.0,-1.37
D,D,-2.77,-5.39
D,D,-4.15,-4.15
B,B,-1.34,6.96
C,C,5.15,-0.76
C,C,5.87,-0.69
C,C,4.67,1.66
D,D,-4.53,-2.91
C,C,5.26,1.73
C,D,2.45,-0.59
C,C,7.14,0.57
C,C,8.28,-0.97
D,D,0.03,-5.74
B,B,0.01,5.89
A,A,-5.28,0.55
C,C,4.35,2.22
A,A,-7.84,-0.27
D,D,-2.83,-0.7
C,C,5.41,-1.18
A,A,-6.43,-1.9
C,C,4.61,1.23
C,C,6.83,-2.42
B,B,1.78,4.71
C,C,4.88,-1.52
A,A,-8.12,0.08
D,D,-0.99,-2.0
B,B,-0.43,7.16
A,A,-8.76,-0.14
C,C,3.03,-0.3
C,C,5.03,0.05
D,D,0.12,-4.6
A,A,-7.28,0.94
B,B,-0.58,6.41
C,C,6.67,-1.21
A,A,-6.07,-1.31
A,A,-8.45,0.45
C,C,5.18,-0.84
A,A,-6.28,-0.05
A,A,-7.53,-1.13
D,D,-2.47,-1.78
B,B,0.11,5.81
C,C,6.05,1.44
C,C,4.95,2.58
B,B,0.75,5.91
A,A,-6.44,-0.92
D,D,1.07,-5.16
A,A,-6.84,1.29
B,B,-0.33,5.97
B,B,0.04,6.24
D,D,1.38,-2.4
A,A,-8.38,1.19
A,A,-7.31,-0.62
B,B,0.04,5.53
B,B,-0.98,5.04
D,D,-1.19,-0.76
A,A,-7.17,-0.85
B,B,0.13,7.43
A,A,-6.58,0.29
C,C,3.97,1.66
C,C,8.62,1.31
C,D,2.37,0.13
B,B,0.08,5.51
D,D,-2.13,-3.54
D,D,1.02,-1.12
C,C,7.06,-1.95
D,D,0.32,-3.19
C,C,5.6,-0.35
B,B,-0.97,7.33
D,D,1.17,0.35
C,C,5.78,-0.08
C,C,7.97,0.01
D,D,-3.17,-0.03
C,C,4.57,-0.05
B,B,0.4,6.18
D,D,-0.04,-2.17
D,D,2.41,-1.31
A,A,-7.56,0.1
C,C,5.8,-1.08
A,A,-6.53,-0.54
C,C,5.65,-1.79
A,A,-5.54,-0.91
B,B,1.3,5.42
B,B,-0.35,6.43
A,A,-7.06,-0.71
A,A,-6.11,-0.25
B,B,-0.11,5.39
B,B,0.9,5.88
B,B,0.15,6.22
B,B,0.61,5.3
D,D,-0.9,-2.01
D,D,2.11,-2.18
C,C,4.9,0.37
C,C,5.76,-0.17
D,D,0.23,-3.7
A,A,-6.8,0.26
B,B,-0.44,5.6
B,B,0.25,5.31
C,C,6.47,-0.55
C,C,5.27,-0.88
D,D,-2.06,-3.86
A,A,-7.43,0.73
A,A,-6.97,-0.08
D,D,-1.84,-1.78
D,D,-0.67,-4.13
B,B,0.58,6.74
C,C,7.07,-0.36
D,D,-1.51,-1.94
D,D,-2.85,-4.6
C,C,5.62,-2.68
B,B,1.59,4.48
A,A,-8.15,1.03
C,C,5.03,1.94
C,C,4.31,1.29
A,A,-8.39,-1.01
B,B,-1.01,4.9
D,D,-2.42,-1.59
B,B,0.88,6.44
C,C,5.02,-2.77
A,A,-6.61,1.08
B,B,-0.72,5.0
B,B,1.51,4.55
D,D,-2.11,-3.72
C,C,7.31,-1.92
C,C,4.03,-0.84
A,A,-8.3,0.84
D,D,-0.75,-2.27
A,A,-7.1,-0.08
A,A,-5.96,0.19
B,B,0.53,4.14
A,A,-7.04,-1.68
A,A,-7.51,-0.71
C,C,6.18,-0.35
C,C,6.45,1.18
A,A,-6.82,0.96
C,C,5.5,1.69
C,C,6.04,-0.18
C,C,5.75,2.64
C,C,4.59,-0.01
C,C,7.08,0.31
B,B,-0.1,5.99
D,D,-1.04,-2.47
A,A,-6.27,-0.89
B,D,-0.04,1.79
B,B,-1.0,4.35
B,B,-1.22,4.78
D,D,-1.19,-2.95
C,C,4.1,-0.51
B,B,0.62,5.64
A,A,-6.53,-1.04
B,B,1.47,5.88
B,B,1.24,7.16
D,D,-1.44,-2.18
C,C,6.13,1.54
A,A,-7.96,0.71
A,A,-7.9,1.4
A,A,-5.01,-0.08
B,B,0.07,5.48
C,C,8.06,2.13
C,C,3.68,1.75
C,C,6.06,-0.1
B,B,0.03,3.95
C,C,6.63,1.15
B,B,0.28,4.79
C,C,4.1,0.93
A,A,-6.42,-0.94
D,D,-3.32,-1.27
A,A,-7.09,0.33
D,D,-1.17,-1.58
A,A,-7.46,-0.04
A,A,-7.15,-0.14
B,B,-0.4,5.72
C,C,5.7,0.91
C,C,6.06,-0.24
B,B,0.68,6.57
C,C,5.78,1.04
D,D,1.11,-1.81
C,C,8.14,0.29
C,C,4.97,-2.12
D,D,-1.41,-1.5
C,C,5.85,1.06
D,D,-0.71,-1.83
A,A,-6.71,-1.91
D,D,-0.79,-2.13
A,A,-7.63,0.98
A,D,-4.48,-1.89
D,D,-0.62,-1.27
C,C,5.64,0.09
A,A,-7.77,-0.52
B,B,1.36,6.89
C,C,6.58,-0.46
C,C,8.07,1.97
B,B,2.03,5.69
B,B,0.13,6.19
A,A,-8.66,-0.36
A,A,-7.79,1.7
B,B,-0.54,3.47
B,B,1.23,5.61
C,C,5.39,-1.01
A,A,-5.36,-0.94
B,B,-0.46,4.62
D,D,-1.37,-4.26
C,C,5.28,0.91
C,C,4.74,0.29
A,A,-6.5,0.05
B,B,0.32,4.36
C,C,4.54,-0.36
D,D,-0.93,-1.82
B,B,1.63,5.67
D,D,0.74,-2.32
D,D,-1.3,-2.4
B,B,1.36,3.98
B,B,1.67,4.92
C,C,5.4,0.89
D,D,-0.8,-2.08
C,C,5.42,-0.64
D,D,-3.1,-4.8
D,D,1.27,-1.52
B,B,-0.78,4.88
C,C,5.74,-2.71
D,D,-0.98,-1.9
B,B,-0.02,5.33
C,C,7.26,0.85
A,A,-8.67,0.58
D,D,-3.02,0.23
A,A,-6.61,1.06
C,C,5.33,0.14
D,D,-2.21,-1.88
D,D,-1.19,-0.19
D,D,-1.1,-2.01
A,A,-6.62,-0.41
B,B,-0.16,5.21
B,B,-1.85,4.61
C,C,5.79,0.55
B,B,0.09,4.43
C,C,7.25,0.62
A,A,-6.89,-0.09
B,B,0.75,5.62
D,D,1.2,-0.16
C,C,5.4,-0.19
B,B,1.14,4.14
D,D,-0.73,-1.24
C,C,7.31,0.4
C,C,4.68,0.56
B,B,0.32,3.7
C,C,5.9,-0.32
D,D,0.26,-3.25
B,B,-0.99,3.73
D,D,-0.92,-1.97
D,D,-1.54,-1.76
D,D,-1.3,-1.13
C,C,4.72,0.02
B,B,0.03,5.42
D,D,-0.83,-2.08
B,B,-1.6,5.38
C,C,6.07,-2.44
D,D,-2.03,-0.58
B,B,-1.24,4.42
B,B,-1.62,5.33
D,D,-1.31,-2.36
D,D,-0.04,-2.49
D,D,0.19,-3.48
A,D,-3.52,0.84
B,B,0.15,6.25
A,A,-6.22,1.14
B,B,-1.22,4.3
D,D,-0.59,0.1
C,C,5.81,0.66
C,C,4.91,-0.04
A,A,-7.0,0.0
B,B,-1.23,5.73
D,D,-3.53,-4.13
A,A,-5.28,0.88
B,B,0.32,4.91
D,D,-0.71,-2.35
D,D,-0.38,-2.26
A,A,-6.9,-0.81
B,B,-0.99,5.67
A,A,-6.28,-1.23
D,D,-0.62,-1.64
D,D,-1.97,0.72
B,B,-0.54,7.17
A,A,-7.87,1.78
A,A,-6.6,-0.27
D,D,1.03,0.53
C,C,5.05,0.4
C,C,6.11,0.14
C,C,7.54,1.37
B,B,-1.21,5.71
A,A,-6.68,-0.05
B,B,-0.38,4.9
C,C,5.92,0.03
C,C,5.12,-0.61
B,B,0.14,5.71
B,B,0.13,5.09
A,A,-6.45,0.06
C,C,6.04,0.28
B,B,0.02,5.81
A,A,-7.03,0.18
C,D,2.93,-1.51
B,B,0.63,6.12
B,B,-1.15,4.66
A,A,-6.57,1.05
B,B,-0.23,4.85
C,C,4.11,-1.2
B,B,-0.84,4.71
A,A,-8.51,0.04
B,B,-1.03,5.08
C,C,6.01,-0.02
D,D,-0.71,-1.93
D,D,-1.42,1.04
A,A,-7.82,0.43
B,B,2.05,4.91
C,C,5.85,1.23
B,B,0.33,4.23
C,C,3.89,-1.32
B,B,1.92,5.12
A,A,-6.0,0.39
A,D,-4.42,-0.08
D,D,-1.61,-2.8
B,B,2.03,4.93
D,D,-0.78,-2.0
D,D,-0.43,-0.16
C,C,6.05,-0.02
C,C,7.01,-1.83
D,D,-0.72,-1.75
D,D,-0.99,-1.98
D,D,-2.22,-3.66
A,A,-6.46,-0.16
C,C,5.26,1.33
B,B,-0.83,5.56
A,A,-6.27,-0.21
D,D,-0.48,-1.68
B,B,0.77,4.46
A,A,-6.94,0.98
A,A,-6.87,1.77
D,D,-4.1,-2.26
A,A,-5.85,-0.8
C,C,3.31,0.66
C,C,6.29,0.39
A,A,-8.42,-0.9
C,C,5.75,1.69
A,A,-6.33,1.46
A,A,-5.47,0.71
D,D,-1.24,-4.96
D,D,-0.51,-2.27
A,A,-6.01,-0.68
A,A,-7.39,0.28
A,A,-6.08,-0.06
A,A,-8.17,0.9
A,A,-5.9,-0.82
D,D,-0.2,-2.73
C,C,5.18,0.88
D,D,-3.56,-2.21
A,A,-6.18,0.55
C,C,5.08,1.08
C,C,5.5,-0.21
B,B,-0.01,5.35
A,A,-6.22,-0.37
A,A,-6.47,-0.65
D,D,-0.27,-1.63
D,D,-2.75,-0.17
D,D,-1.45,-1.95
C,C,5.79,-0.86
D,D,-0.58,-4.7
D,D,-3.05,-2.43
A,A,-8.31,1.26
A,A,-7.4,0.53
C,C,3.58,1.16
D,D,0.17,-1.36
C,C,3.56,1.38
D,D,-1.51,-2.09
D,D,-1.08,-1.71
C,C,4.34,-0.15
C,C,5.8,1.58
D,D,-0.82,-3.23
C,C,4.66,0.37
C,C,5.83,0.94
C,C,6.08,2.67
B,B,-0.07,5.41
B,B,0.14,6.73
C,C,6.23,-0.22
A,A,-6.98,0.02
C,C,6.44,-0.6
C,C,6.02,-1.51
C,C,7.0,-0.2
A,A,-6.36,-0.13
D,D,0.18,0.23
B,B,0.43,5.71
C,C,6.36,0.31
B,B,0.12,5.97
B,B,0.8,5.48
B,B,0.23,3.62
D,D,-0.34,-2.65
A,A,-6.68,-0.17
C,C,7.93,0.92
D,D,-1.22,-1.44
C,C,6.91,-1.13
A,A,-7.29,0.3
C,C,6.11,-0.05
B,B,0.69,4.15
D,D,-1.27,-1.03
A,A,-7.26,-0.4
C,C,7.86,-0.01
B,D,-0.18,1.85
C,C,5.98,0.41
B,B,-1.99,5.3
C,C,5.07,0.71
B,B,-0.71,4.99
C,C,4.59,-0.02
A,A,-6.13,-1.69
A,A,-6.92,0.2
C,C,5.71,0.09
A,A,-6.53,0.23
C,C,4.97,0.11
B,B,-0.48,5.28
B,B,-0.85,5.74
A,A,-5.67,1.33
B,B,-1.15,4.37
D,D,0.01,-0.86
C,C,6.5,2.33
B,B,0.97,7.1
C,C,5.24,0.55
A,A,-5.95,1.13
B,B,0.0,5.27
B,B,0.99,4.37
A,A,-6.79,-0.3
A,A,-8.58,-0.48
B,B,-0.56,7.26
B,B,0.71,4.19
C,C,7.01,0.25
A,A,-7.23,0.14
B,B,-0.91,4.67
D,D,-0.02,-2.2
B,B,-1.09,6.39
C,C,5.83,-0.34
C,C,5.52,1.85
A,A,-6.05,0.68
A,D,-4.13,-0.98
B,B,-0.55,5.6
C,C,5.11,0.94
D,D,-1.41,-5.01
D,D,0.06,-1.49
D,D,-1.74,-5.08
A,A,-7.38,-1.08
B,B,-1.89,4.88
B,B,0.74,5.35
C,C,5.59,0.9
A,A,-8.6,-0.14
B,B,-0.68,5.71
A,A,-5.3,0.11
A,A,-5.74,0.27
C,C,3.1,-0.31
C,C,7.62,2.39
C,C,5.1,-0.31
A,A,-6.25,1.48
A,A,-6.56,-1.2
A,A,-6.19,0.9
A,A,-6.94,-1.03
D,D,1.97,-4.67
A,A,-8.79,0.55
B,B,-0.97,3.97
A,A,-6.36,1.22
C,C,8.39,0.76
B,B,0.93,5.35
A,A,-6.45,1.18
C,C,6.03,-0.06
A,A,-6.98,0.59
C,C,4.58,0.16
A,A,-7.28,0.52
B,B,-0.92,4.7
B,B,0.21,5.13
D,D,-2.52,-4.08
A,A,-7.65,0.04
B,B,0.35,5.42
B,B,-0.08,5.42
D,D,-2.27,-2.95
D,D,0.06,-1.51
A,A,-8.26,-1.33
A,D,-3.89,0.09
B,B,-0.21,6.75
B,D,-1.81,1.87
B,B,1.24,6.13
B,B,0.09,3.5
C,C,6.95,0.47
D,D,-1.61,-1.21
D,D,-1.08,-0.74
A,A,-7.25,0.06
A,A,-7.11,-0.8
A,A,-6.35,0.97
B,B,0.59,5.31
B,B,0.44,3.38
C,C,6.1,0.39
D,D,-3.09,-4.52
A,A,-8.66,-0.58
B,B,-0.07,4.78
D,D,-3.77,-1.08
A,A,-8.29,-1.0
D,D,0.9,-2.4
B,B,-0.61,5.26
D,D,0.05,-1.0
D,D,-1.14,-1.99
D,D,1.24,-2.04
D,D,-4.39,-3.82
D,D,1.23,-4.23
D,D,0.02,0.87
B,B,-1.23,5.78
B,B,-0.2,5.81
B,B,0.05,5.02
B,B,0.7,5.26
B,B,-0.24,5.61
B,B,-1.32,5.68
D,D,-0.99,-0.44
A,A,-6.78,1.91
D,D,-0.05,-0.3
B,B,0.42,4.0
B,B,0.06,5.37
A,A,-6.39,-1.29
D,D,0.95,-1.38
A,A,-5.79,-0.28
D,D,-2.91,-3.16
B,B,-0.84,3.77
D,D,1.16,-1.22
A,A,-8.4,-0.24
D,D,0.3,-3.52
C,C,6.72,-2.22
C,C,6.32,-0.19
A,A,-6.89,0.28
D,D,-1.06,-2.27
D,D,-1.91,-4.74
A,A,-7.13,-0.07
B,B,-0.09,5.43
C,C,5.34,2.27
D,D,-1.41,-0.98
B,B,-0.27,7.03
D,D,-0.84,-4.46
B,B,0.23,5.71
A,A,-6.36,1.66
B,B,1.13,4.91
D,D,-3.62,-1.04
A,A,-6.97,0.09
C,C,6.08,-0.28
D,D,-1.5,-3.2
C,C,3.29,-0.82
A,D,-4.28,-0.82
C,C,3.69,1.01
B,B,-0.36,4.85
C,C,5.49,-0.03
A,A,-7.31,0.86
B,B,-0.05,5.03
A,A,-7.81,0.8
B,B,0.14,5.42
D,D,-0.6,-1.16
A,A,-7.85,-0.56
B,B,-0.16,5.6
D,D,-2.79,-0.34
C,C,5.4,1.58
A,A,-8.85,-0.45
C,C,6.08,-1.36
D,D,-2.22,-5.29
B,B,0.52,7.1
B,B,-1.01,4.07
B,B,0.09,5.56
A,A,-5.56,-0.49
D,D,-2.66,0.17
A,A,-6.99,-0.07
A,A,-5.82,0.26
C,C,5.68,-1.93
A,A,-6.95,-0.04
A,A,-6.03,0.14
D,D,-3.0,-4.66
B,B,0.03,5.08
D,D,-3.15,-2.71
C,C,3.79,-0.57
A,A,-7.03,1.09
C,C,5.79,-2.2
C,C,6.99,0.72
C,C,7.86,-0.57
A,A,-6.3,0.53
C,C,7.22,0.36
B,B,-2.09,5.94
A,A,-7.0,-0.0
A,D,-4.43,-1.08
A,A,-6.0,0.36
D,D,-1.85,-5.86
D,D,-1.0,-2.0
B,B,-0.33,6.19
A,A,-6.76,-0.98
A,A,-6.36,-1.6
D,D,0.27,-5.73
C,C,6.21,2.13
A,A,-6.89,-1.18
D,D,-0.36,-2.04
D,D,2.06,-0.55
A,A,-7.03,-1.18
C,C,4.16,-0.32
B,B,1.13,5.55
A,A,-8.54,0.21
D,D,-1.04,-1.67
B,B,1.43,6.29
C,C,5.39,-0.14
D,D,-0.98,-1.4
C,C,7.69,-0.75
B,B,1.74,6.35
D,D,1.55,-1.02
A,A,-7.98,0.15
D,D,-2.59,-0.04
C,C,5.1,0.71
C,C,5.92,-0.03
A,A,-7.57,0.15
D,D,0.92,-5.24
D,D,-0.91,-1.83
C,C,6.0,0.15
C,C,7.13,1.09
D,D,-1.55,-2.24
C,C,7.92,1.01
A,A,-6.84,1.69
C,C,7.27,0.63
B,B,-0.05,4.28
A,A,-7.36,0.12
D,D,-1.14,-2.18
B,B,-0.73,4.15
D,D,-2.01,0.7
D,D,-0.6,-2.76
D,D,2.56,-3.5
B,B,-0.67,4.93
B,B,0.02,4.84
C,C,7.83,0.42
A,A,-5.8,0.74
A,A,-8.49,0.57
A,A,-6.56,0.01
D,D,-1.24,-1.6
D,D,-3.58,-1.3
C,C,7.92,-0.24
B,B,-1.23,6.26
B,B,-1.25,4.54
A,A,-7.03,0.15
C,C,7.22,-0.31
A,A,-6.37,-0.26
A,A,-6.45,-0.25
B,B,0.71,7.18
A,D,-3.97,0.09
A,A,-7.07,-0.41
D,D,-1.28,-1.65
D,D,1.95,-2.8
A,A,-6.93,-0.11
A,A,-7.17,-0.04
B,B,0.48,4.67
C,C,8.38,-0.41
A,D,-4.36,-1.73
D,D,-1.07,-2.03
B,B,0.67,3.99
B,B,-0.61,7.12
D,D,-3.78,-3.98
B,B,0.4,5.26
C,C,6.31,0.12
A,A,-7.44,0.86
B,B,0.18,6.3
B,B,-0.14,5.47
A,A,-7.35,0.07
A,A,-7.88,-0.99
A,A,-7.26,-0.01
B,B,-0.13,7.34
B,B,0.13,4.84
B,B,0.18,4.98
A,D,-4.61,-2.75
D,D,-0.98,0.95
A,A,-6.25,0.16
A,A,-6.31,0.94
D,D,-1.17,-1.84
A,A,-5.97,1.5
D,D,0.6,-5.65
A,A,-6.23,-0.18
C,C,5.7,-0.66
D,D,1.27,-4.11
A,A,-7.96,1.37
D,D,-2.38,-3.75
A,A,-6.08,-1.21
D,D,-2.56,0.84
D,D,-1.46,-2.06
B,B,-1.38,4.71
D,D,-0.73,0.21
B,B,0.2,5.36
C,C,4.97,-1.5
D,D,-2.28,-0.96
B,B,-0.62,6.41
B,B,-0.23,7.14
A,A,-5.32,0.01
B,B,-0.04,6.02
C,C,5.8,2.69
D,D,-1.0,-2.74
C,C,6.64,-0.35
B,B,0.12,4.94
C,C,4.97,1.72
D,D,-1.01,-2.03
C,C,3.52,0.09
C,C,3.02,-0.34
C,C,8.79,-0.38
C,C,5.81,-0.99
C,C,5.86,-2.17
B,B,0.88,5.34
D,D,0.24,-2.31
D,D,-1.13,-1.21
B,B,-0.87,5.03
D,D,-2.22,0.47
C,C,6.06,-0.05
A,A,-6.17,1.7
B,B,-0.89,3.82
C,C,5.19,2.86
B,B,0.83,4.25
C,C,7.21,0.14
D,D,-2.05,-1.13
A,A,-7.55,0.49
A,A,-8.33,-0.01
D,D,-2.4,-2.97
D,D,-1.85,-1.73
C,C,5.52,-1.48
B,B,0.4,6.34
C,C,6.63,1.11
C,C,6.6,-0.34
D,D,0.16,-0.63
D,D,-2.36,0.05
D,D,-2.03,1.81
C,C,7.53,1.83
C,C,7.75,0.94
D,D,-0.83,-1.84
A,A,-6.92,0.27
D,D,-2.49,-3.03
B,B,0.46,3.67
C,C,6.26,2.79
A,A,-7.05,0.04
A,A,-7.56,-1.6
C,C,7.48,2.1
D,D,1.06,-2.45
B,B,-1.05,3.57
A,A,-5.87,0.46
B,B,-0.27,7.49
B,B,0.42,7.14
A,A,-5.68,0.89
B,B,0.41,4.81
B,B,0.42,4.52
A,A,-5.01,0.15
B,B,0.45,5.24
A,A,-7.99,-0.01
D,D,-0.3,-1.77
A,A,-6.86,-1.1
A,A,-6.4,1.17
A,A,-7.2,-0.2
A,A,-5.38,-0.07
C,C,6.02,0.01
A,A,-7.72,1.55
A,D,-4.36,-2.18
C,C,3.39,1.39
D,D,-0.5,-5.32
D,D,2.02,-3.19
A,A,-8.25,1.45
A,A,-8.41,-0.31
B,B,1.77,5.37
A,A,-6.5,0.24
D,D,-2.54,-1.62
D,D,-0.37,-1.16
B,D,-0.59,1.92
A,A,-6.2,1.48
B,B,0.69,5.52
C,C,6.65,-1.58
C,C,8.01,0.82
D,D,1.83,-1.67
D,D,-2.58,-5.56
A,A,-7.12,-0.1
C,C,4.2,-1.29
C,C,5.38,-0.24
C,C,8.13,1.37
B,B,-0.03,5.68
A,A,-7.11,-0.85
A,A,-8.35,0.13
A,A,-6.81,0.23
C,C,8.59,-0.21
A,A,-8.15,-1.33
A,D,-4.33,-2.21
D,D,-0.49,-0.1
B,B,-0.45,5.22
D,D,-1.58,0.46
D,D,-0.94,-1.23
C,C,3.61,-0.86
A,A,-8.05,-0.54
B,B,-0.29,5.21
A,A,-6.37,-1.28
B,B,-0.1,4.33
B,B,1.32,5.71
C,C,8.11,-1.35
D,D,-0.97,-1.32
B,B,0.32,6.61
B,B,0.4,5.93
C,C,6.58,-1.22
B,B,-0.39,5.62
B,B,-1.3,7.11
D,D,0.88,-0.28
A,A,-6.17,0.53
B,B,0.16,6.17
D,D,1.44,-3.12
A,A,-5.86,0.24
B,B,1.4,5.51
A,A,-7.25,-0.11
B,B,-1.06,4.48
D,D,-0.78,-2.17
D,D,2.4,-1.12
A,A,-7.36,-1.12
B,B,-0.37,5.12
D,D,0.68,-5.03
C,C,6.12,-0.68
B,B,0.3,3.74
D,D,-0.75,-0.95
A,A,-7.61,-0.2
C,C,7.25,-1.2
C,D,2.62,-0.55
B,B,-1.55,4.93
D,D,0.84,-3.39
C,C,5.97,-0.07
C,C,7.74,-1.83
D,D,-1.31,-2.47
C,C,4.42,1.4
D,D,-1.05,-2.18
D,D,0.59,-1.84
A,A,-7.53,0.83
B,B,-1.32,5.16
D,D,-1.51,1.25
C,C,4.23,1.68
A,A,-6.36,0.55
B,B,0.43,4.12
D,D,-1.74,-1.15
A,A,-8.5,0.18
B,B,1.05,5.1
D,D,-2.28,1.34
B,B,-1.83,5.84
A,A,-6.75,-0.49
C,C,5.01,-0.85
B,B,-0.91,6.91
A,A,-5.54,1.27
A,A,-6.8,-0.26
B,B,-0.04,7.21
B,B,-1.13,4.49
C,C,8.55,1.25
D,D,0.57,-2.69
B,B,-0.7,3.62
B,B,1.82,6.16
D,D,-1.49,-3.9
A,A,-7.86,-1.06
C,C,5.57,2.11
A,A,-7.53,-0.58
C,C,7.65,-0.49
C,C,5.77,-0.19
C,C,3.28,-0.29
C,C,3.65,1.16
A,A,-6.02,1.47
C,C,7.18,-0.67
A,A,-7.31,-0.81
A,A,-7.31,-0.97
B,B,1.17,5.81
D,D,-3.47,-2.88
A,A,-8.46,0.77
A,A,-6.66,0.53
B,B,-0.77,6.83
D,D,-1.37,-4.62
A,A,-6.92,-0.35
B,B,-0.13,6.11
D,D,-0.59,-5.09
C,C,7.43,1.87
B,B,0.49,5.85
A,A,-7.02,-1.3
A,A,-5.24,-0.72
C,C,5.57,0.24
B,B,-0.29,5.4
A,A,-6.9,-0.19
D,D,-2.31,-2.08
B,B,1.33,7.23
B,B,0.85,3.79
B,B,0.14,5.13
A,A,-6.51,-0.07
D,D,-1.08,-2.39
A,A,-7.59,0.16
A,A,-5.72,-0.77
A,A,-8.33,0.95
A,A,-8.08,-1.18
B,B,-0.63,4.04
C,C,6.08,-0.52
D,D,-1.41,-1.53
B,B,-0.01,4.69
D,D,-0.61,-5.58
B,D,-1.13,1.98
A,A,-7.54,0.44
C,C,6.11,0.52
A,A,-7.51,0.99
D,D,0.63,-2.45
C,C,4.33,-0.16
A,A,-6.21,0.09
C,C,8.21,-0.74
D,D,-1.53,-3.08
B,B,0.38,6.96
B,B,-0.43,7.38
D,D,0.58,-4.5
D,D,1.56,-0.14
B,B,0.01,5.65
C,C,6.89,2.54
A,A,-6.89,-0.08
C,C,5.69,-2.35
D,D,-1.25,-2.33
D,D,-1.63,-2.34
A,A,-5.64,0.79
A,A,-6.95,-0.01
D,D,-2.5,-3.19
D,D,-0.15,-1.96
B,B,1.34,6.25
C,C,4.36,0.94
B,B,-1.15,4.86
C,C,4.88,-1.31
C,C,6.33,-0.02
C,C,6.12,2.15
C,C,5.79,-1.18
C,C,7.8,0.77
B,B,1.22,5.26
A,A,-6.94,-0.38
A,A,-7.11,1.02
B,B,-2.08,5.89
D,D,0.92,-4.99
B,B,-0.16,5.79
C,C,7.96,-2.24
C,C,5.98,0.05
A,A,-7.58,0.2
A,A,-6.72,0.32
B,B,0.07,5.99
A,A,-6.62,-1.57
C,C,6.2,2.67
C,C,7.95,-1.36
A,A,-5.75,0.52
C,C,5.48,0.54
A,A,-5.27,0.97
C,C,4.68,-0.89
A,A,-7.6,-0.4
B,D,-0.32,1.7
A,A,-7.71,1.76
A,A,-6.57,1.28
C,C,7.96,2.21
B,B,-0.93,4.4
D,D,1.0,-1.99
B,B,-0.84,5.94
A,A,-5.9,-1.12
C,C,5.46,1.63
D,D,-1.04,-1.97
A,A,-7.73,-1.17
A,A,-6.83,-0.89
D,D,1.95,0.6
C,C,7.35,-2.56
A,A,-6.39,0.26
D,D,-2.11,-1.1
A,A,-7.16,-0.17
C,C,7.29,0.35
B,B,-1.1,6.42
C,C,8.32,-0.98
C,C,8.26,-1.02
B,B,1.36,6.34
D,D,0.85,1.24
D,D,-0.92,-2.01
A,A,-7.39,0.14
A,A,-7.06,-0.09
D,D,-0.83,-2.52
D,D,-3.05,0.85
B,B,0.07,6.6
B,B,0.53,5.48
A,D,-4.68,-1.52
C,C,6.19,-2.29
A,A,-5.23,0.74
A,A,-8.16,0.51
A,A,-6.75,0.26
D,D,-4.02,-2.42
A,A,-8.1,0.19
A,A,-6.42,1.7
C,C,5.49,0.46
B,B,-0.35,4.11
